.	Image file path	
1.552	Pixel size	
cw	Rotation direction	
0	U offset	
0	V offset	
1500	SO	
1500	SD	
		
Proj_00196.tif	71.13	0
Proj_00197.tif	70.57	0
Proj_00198.tif	70.01	0
Proj_00199.tif	69.44	0
Proj_00200.tif	68.88	0
Proj_00201.tif	68.31	0
Proj_00202.tif	67.76	0
Proj_00203.tif	67.19	0
Proj_00204.tif	66.62	0
Proj_00205.tif	66.06	0
Proj_00206.tif	65.5	0
Proj_00207.tif	64.93	0
Proj_00208.tif	64.36	0
Proj_00209.tif	63.8	0
Proj_00210.tif	63.24	0
Proj_00211.tif	62.68	0
Proj_00212.tif	62.11	0
Proj_00213.tif	61.56	0
Proj_00214.tif	61	0
Proj_00215.tif	60.43	0
Proj_00216.tif	59.86	0
Proj_00217.tif	59.3	0
Proj_00218.tif	58.74	0
Proj_00219.tif	58.19	0
Proj_00220.tif	57.61	0
Proj_00221.tif	57.04	0
Proj_00222.tif	56.48	0
Proj_00223.tif	55.91	0
Proj_00224.tif	55.33	0
Proj_00225.tif	54.77	0
Proj_00226.tif	54.21	0
Proj_00227.tif	53.64	0
Proj_00228.tif	53.07	0
Proj_00229.tif	52.51	0
Proj_00230.tif	51.96	0
Proj_00231.tif	51.38	0
Proj_00232.tif	50.81	0
Proj_00233.tif	50.26	0
Proj_00234.tif	49.7	0
Proj_00235.tif	49.12	0
Proj_00236.tif	48.56	0
Proj_00237.tif	47.99	0
Proj_00238.tif	47.43	0
Proj_00239.tif	46.87	0
Proj_00240.tif	46.29	0
Proj_00241.tif	45.74	0
Proj_00242.tif	45.18	0
Proj_00243.tif	44.61	0
Proj_00244.tif	44.03	0
Proj_00245.tif	43.49	0
Proj_00246.tif	42.92	0
Proj_00247.tif	42.34	0
Proj_00248.tif	41.78	0
Proj_00249.tif	41.22	0
Proj_00250.tif	40.67	0
Proj_00251.tif	40.1	0
Proj_00252.tif	39.53	0
Proj_00253.tif	38.98	0
Proj_00254.tif	38.41	0
Proj_00255.tif	37.83	0
Proj_00256.tif	37.27	0
Proj_00257.tif	36.72	0
Proj_00258.tif	36.14	0
Proj_00259.tif	35.58	0
Proj_00260.tif	35	0
Proj_00261.tif	34.44	0
Proj_00262.tif	33.88	0
Proj_00263.tif	33.29	0
Proj_00264.tif	32.73	0
Proj_00265.tif	32.18	0
Proj_00266.tif	31.6	0
Proj_00267.tif	31.02	0
Proj_00268.tif	30.46	0
Proj_00269.tif	29.9	0
Proj_00270.tif	29.33	0
Proj_00271.tif	28.77	0
Proj_00272.tif	28.2	0
Proj_00273.tif	27.64	0
Proj_00274.tif	27.07	0
Proj_00275.tif	26.5	0
Proj_00276.tif	25.93	0
Proj_00277.tif	25.38	0
Proj_00278.tif	24.81	0
Proj_00279.tif	24.23	0
Proj_00280.tif	23.68	0
Proj_00281.tif	23.12	0
Proj_00282.tif	22.54	0
Proj_00283.tif	21.98	0
Proj_00284.tif	21.42	0
Proj_00285.tif	20.86	0
Proj_00286.tif	20.29	0
Proj_00287.tif	19.71	0
Proj_00288.tif	19.16	0
Proj_00289.tif	18.6	0
Proj_00290.tif	18.03	0
Proj_00291.tif	17.47	0
Proj_00292.tif	16.91	0
Proj_00293.tif	16.34	0
Proj_00294.tif	15.78	0
Proj_00295.tif	15.2	0
Proj_00296.tif	14.66	0
Proj_00297.tif	14.1	0
Proj_00298.tif	13.52	0
Proj_00299.tif	12.96	0
Proj_00300.tif	12.39	0
Proj_00301.tif	11.82	0
Proj_00302.tif	11.24	0
Proj_00303.tif	10.68	0
Proj_00304.tif	10.11	0
Proj_00305.tif	9.54	0
Proj_00306.tif	8.98	0
Proj_00307.tif	8.4	0
Proj_00308.tif	7.84	0
Proj_00309.tif	7.28	0
Proj_00310.tif	6.71	0
Proj_00311.tif	6.14	0
Proj_00312.tif	5.6	0
Proj_00313.tif	5.03	0
Proj_00314.tif	4.47	0
Proj_00315.tif	3.89	0
Proj_00316.tif	3.33	0
Proj_00317.tif	2.78	0
Proj_00318.tif	2.2	0
Proj_00319.tif	1.63	0
Proj_00320.tif	1.08	0
Proj_00321.tif	0.51	0
Proj_00322.tif	-0.07	0
Proj_00323.tif	-0.62	0
Proj_00324.tif	-1.19	0
Proj_00325.tif	-1.76	0
Proj_00326.tif	-2.32	0
Proj_00327.tif	-2.89	0
Proj_00328.tif	-3.43	0
Proj_00329.tif	-3.99	0
Proj_00330.tif	-4.56	0
Proj_00331.tif	-5.12	0
Proj_00332.tif	-5.69	0
Proj_00333.tif	-6.26	0
Proj_00334.tif	-6.83	0
Proj_00335.tif	-7.39	0
Proj_00336.tif	-7.94	0
Proj_00337.tif	-8.51	0
Proj_00338.tif	-9.09	0
Proj_00339.tif	-9.66	0
Proj_00340.tif	-10.21	0
Proj_00341.tif	-10.79	0
Proj_00342.tif	-11.37	0
Proj_00343.tif	-11.93	0
Proj_00344.tif	-12.48	0
Proj_00345.tif	-13.06	0
Proj_00346.tif	-13.63	0
Proj_00347.tif	-14.19	0
Proj_00348.tif	-14.76	0
Proj_00349.tif	-15.32	0
Proj_00350.tif	-15.89	0
Proj_00351.tif	-16.44	0
Proj_00352.tif	-17	0
Proj_00353.tif	-17.58	0
Proj_00354.tif	-18.16	0
Proj_00355.tif	-18.71	0
Proj_00356.tif	-19.27	0
Proj_00357.tif	-19.83	0
Proj_00358.tif	-20.41	0
Proj_00359.tif	-20.97	0
Proj_00360.tif	-21.53	0
Proj_00361.tif	-22.11	0
Proj_00362.tif	-22.68	0
Proj_00363.tif	-23.23	0
Proj_00364.tif	-23.79	0
Proj_00365.tif	-24.37	0
Proj_00366.tif	-24.93	0
Proj_00367.tif	-25.49	0
Proj_00368.tif	-26.06	0
Proj_00369.tif	-26.62	0
Proj_00370.tif	-27.19	0
Proj_00371.tif	-27.74	0
Proj_00372.tif	-28.31	0
Proj_00373.tif	-28.89	0
Proj_00374.tif	-29.46	0
Proj_00375.tif	-30	0
Proj_00376.tif	-30.57	0
Proj_00377.tif	-31.14	0
Proj_00378.tif	-31.71	0
Proj_00379.tif	-32.28	0
Proj_00380.tif	-32.84	0
Proj_00381.tif	-33.43	0
Proj_00382.tif	-34	0
Proj_00383.tif	-34.57	0
Proj_00384.tif	-35.12	0
Proj_00385.tif	-35.7	0
Proj_00386.tif	-36.28	0
Proj_00387.tif	-36.83	0
Proj_00388.tif	-37.4	0
Proj_00389.tif	-37.97	0
Proj_00390.tif	-38.53	0
Proj_00391.tif	-39.09	0
Proj_00392.tif	-39.64	0
Proj_00393.tif	-40.22	0
Proj_00394.tif	-40.79	0
Proj_00395.tif	-41.34	0
Proj_00396.tif	-41.91	0
Proj_00397.tif	-42.49	0
Proj_00398.tif	-43.04	0
Proj_00399.tif	-43.61	0
Proj_00400.tif	-44.18	0
Proj_00401.tif	-44.76	0
Proj_00402.tif	-45.31	0
Proj_00403.tif	-45.87	0
Proj_00404.tif	-46.44	0
Proj_00405.tif	-47.01	0
Proj_00406.tif	-47.57	0
Proj_00407.tif	-48.12	0
Proj_00408.tif	-48.69	0
Proj_00409.tif	-49.27	0
Proj_00410.tif	-49.82	0
Proj_00411.tif	-50.38	0
Proj_00412.tif	-50.96	0
Proj_00413.tif	-51.53	0
Proj_00414.tif	-52.08	0
Proj_00415.tif	-52.63	0
Proj_00416.tif	-53.2	0
Proj_00417.tif	-53.78	0
Proj_00418.tif	-54.34	0
Proj_00419.tif	-54.9	0
Proj_00420.tif	-55.49	0
Proj_00421.tif	-56.06	0
Proj_00422.tif	-56.62	0
Proj_00423.tif	-57.18	0
Proj_00424.tif	-57.76	0
Proj_00425.tif	-58.32	0
Proj_00426.tif	-58.89	0
Proj_00427.tif	-59.46	0
Proj_00428.tif	-60.02	0
Proj_00429.tif	-60.6	0
Proj_00430.tif	-61.16	0
Proj_00431.tif	-61.71	0
Proj_00432.tif	-62.29	0
Proj_00433.tif	-62.86	0
Proj_00434.tif	-63.42	0
Proj_00435.tif	-63.97	0
Proj_00436.tif	-64.54	0
Proj_00437.tif	-65.11	0
Proj_00438.tif	-65.67	0
Proj_00439.tif	-66.23	0
Proj_00440.tif	-66.81	0
Proj_00441.tif	-67.37	0
Proj_00442.tif	-67.92	0
Proj_00443.tif	-68.49	0
Proj_00444.tif	-69.07	0
Proj_00445.tif	-69.62	0
Proj_00446.tif	-70.18	0
Proj_00447.tif	-70.74	0
Proj_00448.tif	-71.32	0
Proj_00449.tif	-71.89	0
Proj_00450.tif	-72.44	0
Proj_00451.tif	-73.01	0
Proj_00452.tif	-73.59	0
Proj_00453.tif	-74.14	0
Proj_00454.tif	-74.69	0
Proj_00455.tif	-75.26	0
Proj_00456.tif	-75.83	0
Proj_00457.tif	-76.4	0
Proj_00458.tif	-76.97	0
Proj_00459.tif	-77.53	0
Proj_00460.tif	-78.11	0
Proj_00461.tif	-78.68	0
Proj_00462.tif	-79.23	0
Proj_00463.tif	-79.8	0
Proj_00464.tif	-80.38	0
Proj_00465.tif	-80.94	0
Proj_00466.tif	-81.51	0
Proj_00467.tif	-82.08	0
Proj_00468.tif	-82.64	0
Proj_00469.tif	-83.2	0
Proj_00470.tif	-83.74	0
Proj_00471.tif	-84.32	0
Proj_00472.tif	-84.89	0
Proj_00473.tif	-85.44	0
Proj_00474.tif	-86	0
Proj_00475.tif	-86.58	0
Proj_00476.tif	-87.16	0
Proj_00477.tif	-87.71	0
Proj_00478.tif	-88.27	0
Proj_00479.tif	-88.84	0
Proj_00480.tif	-89.41	0
Proj_00481.tif	-89.96	0
Proj_00482.tif	-90.52	0
Proj_00483.tif	-91.1	0
Proj_00484.tif	-91.67	0
Proj_00485.tif	-92.21	0
Proj_00486.tif	-92.77	0
Proj_00487.tif	-93.33	0
Proj_00488.tif	-93.9	0
Proj_00489.tif	-94.46	0
Proj_00490.tif	-95.02	0
Proj_00491.tif	-95.6	0
Proj_00492.tif	-96.16	0
Proj_00493.tif	-96.71	0
Proj_00494.tif	-97.28	0
Proj_00495.tif	-97.84	0
Proj_00496.tif	-98.41	0
Proj_00497.tif	-98.97	0
Proj_00498.tif	-99.54	0
Proj_00499.tif	-100.12	0
Proj_00500.tif	-100.69	0
Proj_00501.tif	-101.23	0
Proj_00502.tif	-101.8	0
Proj_00503.tif	-102.38	0
Proj_00504.tif	-102.94	0
Proj_00505.tif	-103.5	0
Proj_00506.tif	-104.07	0
Proj_00507.tif	-104.63	0
Proj_00508.tif	-105.2	0
Proj_00509.tif	-105.76	0
Proj_00510.tif	-106.32	0
Proj_00511.tif	-106.89	0
Proj_00512.tif	-107.46	0
Proj_00513.tif	-108	0
Proj_00514.tif	-108.57	0
Proj_00515.tif	-109.14	0
Proj_00516.tif	-109.71	0
Proj_00517.tif	-110.26	0
Proj_00518.tif	-110.82	0
Proj_00519.tif	-111.4	0
Proj_00520.tif	-111.96	0
Proj_00521.tif	-112.51	0
Proj_00522.tif	-113.09	0
Proj_00523.tif	-113.66	0
Proj_00524.tif	-114.21	0
Proj_00525.tif	-114.76	0
Proj_00526.tif	-115.32	0
Proj_00527.tif	-115.9	0
Proj_00528.tif	-116.46	0
Proj_00529.tif	-117.01	0
Proj_00530.tif	-117.58	0
Proj_00531.tif	-118.14	0
Proj_00532.tif	-118.7	0
Proj_00533.tif	-119.26	0
Proj_00534.tif	-119.83	0
Proj_00535.tif	-120.4	0
Proj_00536.tif	-120.96	0
Proj_00537.tif	-121.52	0
Proj_00538.tif	-122.1	0
Proj_00539.tif	-122.68	0
Proj_00540.tif	-123.23	0
Proj_00541.tif	-123.79	0
Proj_00542.tif	-124.37	0
Proj_00543.tif	-124.93	0
Proj_00544.tif	-125.5	0
Proj_00545.tif	-126.07	0
Proj_00546.tif	-126.63	0
Proj_00547.tif	-127.19	0
Proj_00548.tif	-127.74	0
Proj_00549.tif	-128.31	0
Proj_00550.tif	-128.89	0
Proj_00551.tif	-129.47	0
Proj_00552.tif	-130.01	0
Proj_00553.tif	-130.57	0
Proj_00554.tif	-131.14	0
Proj_00555.tif	-131.71	0
Proj_00556.tif	-132.27	0
Proj_00557.tif	-132.82	0
Proj_00558.tif	-133.4	0
Proj_00559.tif	-133.96	0
Proj_00560.tif	-134.51	0
Proj_00561.tif	-135.08	0
Proj_00562.tif	-135.66	0
Proj_00563.tif	-136.22	0
Proj_00564.tif	-136.77	0
Proj_00565.tif	-137.33	0
Proj_00566.tif	-137.9	0
Proj_00567.tif	-138.46	0
Proj_00568.tif	-139.02	0
Proj_00569.tif	-139.59	0
Proj_00570.tif	-140.16	0
Proj_00571.tif	-140.71	0
Proj_00572.tif	-141.27	0
Proj_00573.tif	-141.82	0
Proj_00574.tif	-142.4	0
Proj_00575.tif	-142.97	0
Proj_00576.tif	-143.52	0
Proj_00577.tif	-144.09	0
Proj_00578.tif	-144.67	0
Proj_00579.tif	-145.23	0
Proj_00580.tif	-145.8	0
Proj_00581.tif	-146.37	0
Proj_00582.tif	-146.94	0
Proj_00583.tif	-147.5	0
Proj_00584.tif	-148.06	0
Proj_00585.tif	-148.62	0
Proj_00586.tif	-149.2	0
Proj_00587.tif	-149.76	0
Proj_00588.tif	-150.31	0
Proj_00589.tif	-150.88	0
Proj_00590.tif	-151.44	0
Proj_00591.tif	-152.01	0
Proj_00592.tif	-152.57	0
Proj_00593.tif	-153.13	0
Proj_00594.tif	-153.71	0
Proj_00595.tif	-154.27	0
